,keyword,0
625,손,4
626,팟캐입니,4
627,얘기,4
628,감명,4
629,좋아요,4
630,죽음,4
631,ㅎㅎㅎ,4
632,듣기좋,4
633,고통,4
634,비슷,4
635,책장,4
636,진심,4
637,제작,4
638,저자님,4
639,안정감,4
640,노하우,4
641,아닌거,4
642,좋아요정말,4
643,잘들었읍니,4
644,남,4
645,21세,4
646,그걸,4
647,편하네요너무,4
648,복잡,4
649,세월,4
650,뜻,4
651,소통,4
652,성공,4
653,한층,4
654,였는데,4
655,음질,4
656,절절,4
657,들었습니다잘들었어요잘,4
658,인터넷,4
659,불끄,4
660,장문정,4
661,ㄷㄷ,4
662,돈,4
663,집중해서,4
664,습니다잘,4
665,면,4
666,잠자리,4
667,녹음,4
668,말투,4
669,쪽,4
670,그것,4
671,오만,4
672,데이터,4
673,광고,4
674,좋네요듣기,4
675,다행,4
676,이용,4
677,선생,4
678,폭,4
679,친구들,4
680,잘들었어요잘,4
681,좋아요좋아요목소리,4
682,나이,4
683,도전,4
684,공포물,4
685,넘넘,4
686,잘들어오,4
687,나레이션,4
688,좋아요마음,4
689,시장,4
690,유정,4
691,구성,4
692,물,4
693,최광희,4
694,ㅎㅎ좋,4
695,좋네요내용,4
696,완벽,4
697,조카,4
698,고맙습니다목소리,4
699,자유,4
700,명배우,4
701,시집,4
702,1권,4
703,생활,4
704,검열,4
705,것들,4
706,좋네요추억,4
707,몸,4
708,좋아요귀,4
709,학교,4
710,윤동주,4
711,마무리,4
712,갑니다잘,4
713,동현군,4
714,방식,4
715,풍부,4
716,듣는건,4
717,동화책,4
718,편견,4
719,점,4
720,캐시,4
721,수준,4
722,있는거,4
723,무서운거,4
724,예의,4
725,맛깔나,4
726,공지영,4
727,소년,4
728,곳,4
729,이야기잘,4
730,특별,4
731,잘들었습니다목소리,4
732,감탄,4
733,최민식배우,4
734,힐링되,4
735,수정,4
736,가수,4
737,ㅋㅋㅋㅋㅋ,4
738,팟빵에서,4
739,우리나라,4
740,컨텐츠네요,4
741,더위,4
742,어려움,4
743,좋아요좋아요잘,4
744,대부분,4
745,좋네요정말,4
746,♥,4
747,눈앞,4
748,희망,4
749,필력,4
750,파일,4
751,이지혜배우님,4
752,책읽,4
753,선택,4
754,밖,4
755,적당,4
756,팟캐,4
757,반성,4
758,담백한,4
759,건조,4
760,출퇴근,4
761,연재,4
762,묘사,4
763,프로,4
764,정감,4
