존경,4,김명준,4,,,오발탄,1,,,,,,,,,,
어른,4,짜증,4,,,화면,1,,,,,,,,,,
심리,4,예전,4,,,광고,1,,,,,,,,,,
탈퇴,4,호라이즌,4,,,용량,1,,,,,,,,,,
재미,4,반복,4,,,명작,1,,,,,,,,,,
명,4,장면,4,,,호수,1,,,,,,,,,,
회사,4,후회,4,,,서리,1,,,,,,,,,,
중요,4,전집,4,,,너,1,,,,,,,,,,
본인,4,머리,4,,,얘기,1,,,,,,,,,,
사이,4,ㄷ,4,,,구성,1,,,,,,,,,,
집,4,가슴,4,,,낮,1,,,,,,,,,,
짱,4,사례,4,,,덕,1,,,,,,,,,,
자신,4,정신,4,,,경험,1,,,,,,,,,,
댓글,4,강연,4,,,심장,1,,,,,,,,,,
교육,4,법정,4,,,북스,1,,,,,,,,,,
위,4,땐,4,,,수거,1,,,,,,,,,,
방법,4,결혼,4,,,가족,1,,,,,,,,,,
딕션,4,요약,4,,,박물관,1,,,,,,,,,,
대박,4,권,4,,,년,1,,,,,,,,,,
만,4,발음,4,,,보이스,1,,,,,,,,,,
다운,4,위,4,,,띠,1,,,,,,,,,,
서적,4,앱,4,,,동주,1,,,,,,,,,,
묘사,4,이후,4,,,양식,1,,,,,,,,,,
답,3,세상,4,,,할인,1,,,,,,,,,,
상태,3,완전,4,,,애,1,,,,,,,,,,
고민,3,완독,4,,,실재,1,,,,,,,,,,
상상,3,배경,4,,,희망,1,,,,,,,,,,
수준,3,정보,4,,,딕션,1,,,,,,,,,,
발전,3,한지민,4,,,초등학생,1,,,,,,,,,,
분위기,3,실감,4,,,정형,1,,,,,,,,,,
한편,3,쌤,4,,,여,1,,,,,,,,,,
구분,3,불편,4,,,사용,1,,,,,,,,,,
나름,3,한국,4,,,소년,1,,,,,,,,,,
정리,3,대생,4,,,요금제,1,,,,,,,,,,
종이,3,이번,4,,,자연,1,,,,,,,,,,
인상,3,마새,4,,,상상력,1,,,,,,,,,,
법,3,오늘,4,,,허지웅,1,,,,,,,,,,
차,3,스페셜,4,,,오만,1,,,,,,,,,,
만족,3,윤동기,4,,,디테일,1,,,,,,,,,,
금융,3,실천,4,,,관련,1,,,,,,,,,,
오랜만,3,원,4,,,트,1,,,,,,,,,,
이번,3,필요,4,,,날,1,,,,,,,,,,
서비스,3,김,4,,,레전드,1,,,,,,,,,,
실감,3,제목,4,,,미안,1,,,,,,,,,,
정신,3,인물,4,,,공포,1,,,,,,,,,,
편향,3,십,4,,,안정,1,,,,,,,,,,
미국,3,날,4,,,부탁,1,,,,,,,,,,
분석,3,누가,3,,,라,1,,,,,,,,,,
그림,3,메세지,3,,,아이돌,1,,,,,,,,,,
건가요,3,뒤,3,,,정신,1,,,,,,,,,,
부동산,3,여성,3,,,구,1,,,,,,,,,,
겁니다,3,뿐,3,,,힌,1,,,,,,,,,,
노력,3,간,3,,,동안,1,,,,,,,,,,
여운,3,뭔가,3,,,리뷰,1,,,,,,,,,,
기존,3,미스트,3,,,무언가,1,,,,,,,,,,
트,3,최근,3,,,딘,1,,,,,,,,,,
교수,3,건가요,3,,,가운데,1,,,,,,,,,,
이거,3,라디오,3,,,사과,1,,,,,,,,,,
엄마,3,도서관,3,,,핀잔,1,,,,,,,,,,
가치,3,역할,3,,,유어,1,,,,,,,,,,
과거,3,애기씨,3,,,다운로드,1,,,,,,,,,,
약속,3,단편,3,,,요성,1,,,,,,,,,,
호기심,3,상처,3,,,심정,1,,,,,,,,,,
장면,3,코로나,3,,,신기,1,,,,,,,,,,
자기계,3,케이토,3,,,장난,1,,,,,,,,,,
명견만리,3,화,3,,,칭찬,1,,,,,,,,,,
흡입력,3,시대,3,,,코미디,1,,,,,,,,,,
죽음,3,리딩,3,,,가짜,1,,,,,,,,,,
구독,3,나이,3,,,겨울,1,,,,,,,,,,
라디오,3,전체,3,,,오류,1,,,,,,,,,,
지금,3,찌질,3,,,의견,1,,,,,,,,,,
반복,3,ㄱ,3,,,한국,1,,,,,,,,,,
동안,3,구체,3,,,랍,1,,,,,,,,,,
주제,3,표현,3,,,리스트,1,,,,,,,,,,
실천,3,감상,3,,,이동,1,,,,,,,,,,
정확,3,베넷,3,,,문성근,1,,,,,,,,,,
의견,3,묘사,3,,,목회,1,,,,,,,,,,
배경,3,완벽,3,,,해석,1,,,,,,,,,,
북,3,서점,3,,,말장난,1,,,,,,,,,,
구입,3,도시,3,,,강의,1,,,,,,,,,,
기회,3,그,3,,,성진환,1,,,,,,,,,,
