,title,voice,author,publish
305,박지일이 읽는 최명익의 심문,박지일,최명익,커뮤니케이션북스
306,박건형이 읽는 김사량의 빛 속에,박건형,김사량,커뮤니케이션북스
307,지현준이 읽는 이광수의 무명,지현준,이광수,커뮤니케이션북스
308,박옥출이 읽는 한설야의 이녕,박옥출,한설야,커뮤니케이션북스
309,박웅이 읽는 유진오의 창랑정기,박웅,유진오,커뮤니케이션북스
310,허윤정이 읽는 현덕의 남생이,허윤정,현덕,커뮤니케이션북스
311,정수영이 읽는 최정희의 흉가,정수영,최정희,커뮤니케이션북스
312,예지원이 읽는 정비석의 성황당,예지원,정비석,커뮤니케이션북스
313,안재욱이 읽는 유항림의 마권,안재욱,유항림,커뮤니케이션북스
314,이호재가 읽는 이북명의 답싸리,이호재,이북명,커뮤니케이션북스
315,김은석이 읽는 허준의 탁류,김은석,허준,커뮤니케이션북스
316,오지혜가 읽는 강경애의 지하촌,오지혜,강경애,커뮤니케이션북스
317,손병호가 읽는 김정한의 사하촌,손병호,김정한,커뮤니케이션북스
318,백지원이 읽는 김동리의 무녀도,백지원,김동리,커뮤니케이션북스
319,김명곤이 읽는 이효석의 모밀꽃 필 무렵,김명곤,이효석,커뮤니케이션북스
320,송승환이 읽는 이상의 날개,송승환,이상,커뮤니케이션북스
321,맹봉학이 읽는 박화성의 고향 없는 사람들,맹봉학,박화성,커뮤니케이션북스
322,이희준이 읽는 김유정의 동백꽃,이희준,김유정,커뮤니케이션북스
323,김영민이 읽는 현경준의 탁류,김영민,현경준,커뮤니케이션북스
324,이지혜가 읽는 주요섭의 사랑손님과 어머니,이지혜,주요섭,커뮤니케이션북스
325,강부자가 읽는 계용묵의 백치 아다다,강부자,계용묵,커뮤니케이션북스
326,남명렬이 읽는 최인준의 암류,남명렬,최인준,커뮤니케이션북스
327,문성근이 읽는 박태원의 소설가 구보 씨의 일일,문성근,박태원,커뮤니케이션북스
328,안석환이 읽는 채만식의 레디메이드 인생,안석환,채만식,커뮤니케이션북스
329,원근희가 읽는 이기영의 서화,원근희,이기영,커뮤니케이션북스
330,김명기가 읽는 이태준의 달밤,김명기,이태준,커뮤니케이션북스
331,손숙이 읽는 백신애의 꺼래이,손숙,백신애,커뮤니케이션북스
332,김명국이 읽는 엄흥섭의 흘러간 마을,김명국,엄흥섭,커뮤니케이션북스
333,송일국이 읽는 송영의 석공조합대표,송일국,송영,커뮤니케이션북스
334,이주원이 읽는 조명희의 낙동강,이주원,조명희,커뮤니케이션북스
335,박정자가 읽는 김명순의 나는 사랑한다,박정자,김명순,커뮤니케이션북스
336,강신일이 읽는 최서해의 탈출기,강신일,최서해,커뮤니케이션북스
337,엄효섭이 읽는 이익상의 흙의 세례,엄효섭,이익상,커뮤니케이션북스
338,심양홍이 읽는 전영택의 화수분,심양홍,전영택,커뮤니케이션북스
339,정진영이 읽는 김기진의 젊은 이상주의자의 사,정진영,김기진,커뮤니케이션북스
340,권해효가 읽는 방인근의 자동차 운전수,권해효,방인근,커뮤니케이션북스
341,명계남이 읽는 박영희의 사냥개,명계남,박영희,커뮤니케이션북스
342,성지루가 읽는 나도향의 벙어리 삼룡이,성지루,나도향,커뮤니케이션북스
343,양희경이 읽는 염상섭의 전화,양희경,염상섭,커뮤니케이션북스
344,정보석이 읽는 임노월의 악마의 사랑,정보석,임노월,커뮤니케이션북스
345,이원승이 읽는 현진건의 운수 좋은 날,이원승,현진건,커뮤니케이션북스
346,정동환이 읽는 김동인의 배따라기,정동환,김동인,커뮤니케이션북스
347,윤석화가 읽는 나혜석의 경희,윤석화,나혜석,커뮤니케이션북스
